Year,Quarter,YearQuarter,Sort_Order
2018,1,2018-Q1,1
2018,2,2018-Q2,2
2018,3,2018-Q3,3
2018,4,2018-Q4,4
2019,1,2019-Q1,5
2019,2,2019-Q2,6
2019,3,2019-Q3,7
2019,4,2019-Q4,8
2020,1,2020-Q1,9
2020,2,2020-Q2,10
2020,3,2020-Q3,11
2020,4,2020-Q4,12
2021,1,2021-Q1,13
2021,2,2021-Q2,14
2021,3,2021-Q3,15
2021,4,2021-Q4,16
2022,1,2022-Q1,17
2022,2,2022-Q2,18
2022,3,2022-Q3,19
2022,4,2022-Q4,20
