State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount,YearQuarter
Andaman & Nicobar Islands,2018,1,Recharge & bill payments,4200,1845307.467365509,2018-Q1
Andaman & Nicobar Islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,2018-Q1
Andaman & Nicobar Islands,2018,1,Merchant payments,298,452507.168646613,2018-Q1
Andaman & Nicobar Islands,2018,1,Financial Services,33,10601.419933464951,2018-Q1
Andaman & Nicobar Islands,2018,1,Others,256,184689.8662902223,2018-Q1
Andaman & Nicobar Islands,2018,2,Recharge & bill payments,6735,2320944.731074479,2018-Q2
Andaman & Nicobar Islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,2018-Q2
Andaman & Nicobar Islands,2018,2,Merchant payments,603,1024491.0133579008,2018-Q2
Andaman & Nicobar Islands,2018,2,Financial Services,59,121336.0270987509,2018-Q2
Andaman & Nicobar Islands,2018,2,Others,368,359838.50537474576,2018-Q2
Andaman & Nicobar Islands,2018,3,Recharge & bill payments,8636,4343504.868377829,2018-Q3
Andaman & Nicobar Islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,2018-Q3
Andaman & Nicobar Islands,2018,3,Merchant payments,945,1627359.8394868043,2018-Q3
Andaman & Nicobar Islands,2018,3,Financial Services,42,1481.4907042806483,2018-Q3
Andaman & Nicobar Islands,2018,3,Others,194,314343.39410715323,2018-Q3
Andaman & Nicobar Islands,2018,4,Recharge & bill payments,11517,5450549.512294375,2018-Q4
Andaman & Nicobar Islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,2018-Q4
Andaman & Nicobar Islands,2018,4,Merchant payments,1421,3552027.735492656,2018-Q4
Andaman & Nicobar Islands,2018,4,Financial Services,29,76035.7877393286,2018-Q4
Andaman & Nicobar Islands,2018,4,Others,340,468266.0606770435,2018-Q4
Andaman & Nicobar Islands,2019,1,Recharge & bill payments,15263,6611459.872972583,2019-Q1
Andaman & Nicobar Islands,2019,1,Peer-to-peer payments,13119,91808345.86839552,2019-Q1
Andaman & Nicobar Islands,2019,1,Merchant payments,1759,3266589.8469614363,2019-Q1
Andaman & Nicobar Islands,2019,1,Financial Services,62,116250.436718611,2019-Q1
Andaman & Nicobar Islands,2019,1,Others,283,497094.6484417205,2019-Q1
Andaman & Nicobar Islands,2019,2,Recharge & bill payments,14676,7242448.256212333,2019-Q2
Andaman & Nicobar Islands,2019,2,Peer-to-peer payments,14481,107525358.6665284,2019-Q2
Andaman & Nicobar Islands,2019,2,Merchant payments,4031,4702152.616619372,2019-Q2
Andaman & Nicobar Islands,2019,2,Financial Services,124,113278.91371326068,2019-Q2
Andaman & Nicobar Islands,2019,2,Others,377,671471.222589792,2019-Q2
Andaman & Nicobar Islands,2019,3,Recharge & bill payments,16219,8171737.705916681,2019-Q3
Andaman & Nicobar Islands,2019,3,Peer-to-peer payments,13767,101079821.10344613,2019-Q3
Andaman & Nicobar Islands,2019,3,Merchant payments,3519,4428734.574846684,2019-Q3
Andaman & Nicobar Islands,2019,3,Financial Services,50,158857.94315586874,2019-Q3
Andaman & Nicobar Islands,2019,3,Others,215,232624.75992853564,2019-Q3
Andaman & Nicobar Islands,2019,4,Peer-to-peer payments,18128,121493224.3075451,2019-Q4
Andaman & Nicobar Islands,2019,4,Recharge & bill payments,13851,9538690.916424634,2019-Q4
Andaman & Nicobar Islands,2019,4,Merchant payments,2920,5247500.487902376,2019-Q4
Andaman & Nicobar Islands,2019,4,Financial Services,60,295937.2110898865,2019-Q4
Andaman & Nicobar Islands,2019,4,Others,200,263177.5944158883,2019-Q4
Andaman & Nicobar Islands,2020,1,Peer-to-peer payments,18324,142332401.7923477,2020-Q1
Andaman & Nicobar Islands,2020,1,Recharge & bill payments,18268,10850414.023977453,2020-Q1
Andaman & Nicobar Islands,2020,1,Merchant payments,4424,7752871.558217709,2020-Q1
Andaman & Nicobar Islands,2020,1,Financial Services,66,208231.7307165264,2020-Q1
Andaman & Nicobar Islands,2020,1,Others,216,332393.19201521645,2020-Q1
Andaman & Nicobar Islands,2020,2,Recharge & bill payments,38125,17659622.73418829,2020-Q2
Andaman & Nicobar Islands,2020,2,Peer-to-peer payments,20303,141728757.73517442,2020-Q2
Andaman & Nicobar Islands,2020,2,Merchant payments,4004,9236375.740471344,2020-Q2
Andaman & Nicobar Islands,2020,2,Financial Services,175,706932.1397115812,2020-Q2
Andaman & Nicobar Islands,2020,2,Others,355,313313.0646014327,2020-Q2
Andaman & Nicobar Islands,2020,3,Recharge & bill payments,59310,24756220.87546935,2020-Q3
Andaman & Nicobar Islands,2020,3,Peer-to-peer payments,40697,289078946.7312394,2020-Q3
Andaman & Nicobar Islands,2020,3,Merchant payments,16096,22682992.238478817,2020-Q3
Andaman & Nicobar Islands,2020,3,Financial Services,572,961836.7129860274,2020-Q3
Andaman & Nicobar Islands,2020,3,Others,808,539449.7721868362,2020-Q3
Andaman & Nicobar Islands,2020,4,Peer-to-peer payments,81439,533316526.1814983,2020-Q4
Andaman & Nicobar Islands,2020,4,Recharge & bill payments,80811,33710030.53438324,2020-Q4
Andaman & Nicobar Islands,2020,4,Merchant payments,59391,56867468.94000395,2020-Q4
Andaman & Nicobar Islands,2020,4,Financial Services,965,1880546.967237064,2020-Q4
Andaman & Nicobar Islands,2020,4,Others,1925,1508083.6917299272,2020-Q4
Andaman & Nicobar Islands,2021,1,Peer-to-peer payments,105458,665391395.715478,2021-Q1
Andaman & Nicobar Islands,2021,1,Recharge & bill payments,84119,37160922.86506996,2021-Q1
Andaman & Nicobar Islands,2021,1,Merchant payments,53090,78606979.05751458,2021-Q1
Andaman & Nicobar Islands,2021,1,Financial Services,884,1469351.0852598653,2021-Q1
Andaman & Nicobar Islands,2021,1,Others,1201,1077918.666433228,2021-Q1
Andaman & Nicobar Islands,2021,2,Peer-to-peer payments,132772,748382044.7707307,2021-Q2
Andaman & Nicobar Islands,2021,2,Recharge & bill payments,120911,43691961.26275121,2021-Q2
Andaman & Nicobar Islands,2021,2,Merchant payments,85143,103707408.5090846,2021-Q2
Andaman & Nicobar Islands,2021,2,Financial Services,960,2038521.5136710336,2021-Q2
Andaman & Nicobar Islands,2021,2,Others,1628,1327080.0560584562,2021-Q2
Andaman & Nicobar Islands,2021,3,Peer-to-peer payments,192321,1077787837.156299,2021-Q3
Andaman & Nicobar Islands,2021,3,Recharge & bill payments,136010,51243450.85925055,2021-Q3
Andaman & Nicobar Islands,2021,3,Merchant payments,118340,176991328.21761322,2021-Q3
Andaman & Nicobar Islands,2021,3,Financial Services,990,2351013.441729573,2021-Q3
Andaman & Nicobar Islands,2021,3,Others,2103,1650766.1267105162,2021-Q3
Andaman & Nicobar Islands,2021,4,Peer-to-peer payments,285778,1544932663.274458,2021-Q4
Andaman & Nicobar Islands,2021,4,Merchant payments,210164,322842314.6243375,2021-Q4
Andaman & Nicobar Islands,2021,4,Recharge & bill payments,135608,59243518.11464359,2021-Q4
Andaman & Nicobar Islands,2021,4,Financial Services,1718,3137965.167474068,2021-Q4
Andaman & Nicobar Islands,2021,4,Others,2855,2453640.142743944,2021-Q4
Andaman & Nicobar Islands,2022,1,Peer-to-peer payments,342649,1682328505.725447,2022-Q1
Andaman & Nicobar Islands,2022,1,Merchant payments,284298,370091558.683733,2022-Q1
Andaman & Nicobar Islands,2022,1,Recharge & bill payments,163401,71300133.66101265,2022-Q1
Andaman & Nicobar Islands,2022,1,Financial Services,1757,2869682.022951186,2022-Q1
Andaman & Nicobar Islands,2022,1,Others,2643,2440321.9820225406,2022-Q1
Andaman & Nicobar Islands,2022,2,Merchant payments,449540,510838980.9061847,2022-Q2
Andaman & Nicobar Islands,2022,2,Peer-to-peer payments,437606,2088309073.455284,2022-Q2
Andaman & Nicobar Islands,2022,2,Recharge & bill payments,179515,82232936.61795367,2022-Q2
Andaman & Nicobar Islands,2022,2,Financial Services,1448,2089862.3927160464,2022-Q2
Andaman & Nicobar Islands,2022,2,Others,3108,2449496.7081265687,2022-Q2
Andaman & Nicobar Islands,2022,3,Merchant payments,716105,693438186.2965411,2022-Q3
Andaman & Nicobar Islands,2022,3,Peer-to-peer payments,622217,2514535154.56483,2022-Q3
Andaman & Nicobar Islands,2022,3,Recharge & bill payments,240766,97748065.62714244,2022-Q3
Andaman & Nicobar Islands,2022,3,Financial Services,1814,2166304.9779766416,2022-Q3
Andaman & Nicobar Islands,2022,3,Others,3477,2744060.670897343,2022-Q3
Andaman & Nicobar Islands,2022,4,Merchant payments,956536,906365300.658504,2022-Q4
Andaman & Nicobar Islands,2022,4,Peer-to-peer payments,768758,2961630584.8271317,2022-Q4
Andaman & Nicobar Islands,2022,4,Recharge & bill payments,256050,110037119.6694117,2022-Q4
Andaman & Nicobar Islands,2022,4,Financial Services,2499,3533987.230113048,2022-Q4
Andaman & Nicobar Islands,2022,4,Others,3692,3107412.043626394,2022-Q4
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698563,2018-Q1
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.17878,2018-Q1
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.2400068,2018-Q1
Andhra Pradesh,2018,1,Financial Services,204305,44808449.7639544,2018-Q1
Andhra Pradesh,2018,1,Others,395514,287626042.970705,2018-Q1
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488.488035,2018-Q2
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.895294,2018-Q2
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.8603296,2018-Q2
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81374599,2018-Q2
Andhra Pradesh,2018,2,Others,322063,328092346.575651,2018-Q2
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.66872,2018-Q3
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098146.894192,2018-Q3
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5076212,2018-Q3
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57437308,2018-Q3
Andhra Pradesh,2018,3,Others,348725,284248675.5700202,2018-Q3
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.136086,2018-Q4
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957,2018-Q4
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585888.568256,2018-Q4
Andhra Pradesh,2018,4,Financial Services,400837,57178116.40322068,2018-Q4
Andhra Pradesh,2018,4,Others,389411,315211361.2624941,2018-Q4
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595,2019-Q1
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771367,2019-Q1
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770.370634,2019-Q1
Andhra Pradesh,2019,1,Financial Services,416325,47150177.52982048,2019-Q1
Andhra Pradesh,2019,1,Others,361263,284937624.53930193,2019-Q1
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.4702,2019-Q2
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345387.910109,2019-Q2
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405202.681959,2019-Q2
Andhra Pradesh,2019,2,Financial Services,145310,26626696.77104253,2019-Q2
Andhra Pradesh,2019,2,Others,448802,361492238.3966455,2019-Q2
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.5153,2019-Q3
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984676.5989065,2019-Q3
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038.066369,2019-Q3
Andhra Pradesh,2019,3,Financial Services,122270,29778183.02708044,2019-Q3
Andhra Pradesh,2019,3,Others,413437,298142027.5862577,2019-Q3
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.6875,2019-Q4
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303367.50486,2019-Q4
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999,2019-Q4
Andhra Pradesh,2019,4,Financial Services,105662,26796571.745749157,2019-Q4
Andhra Pradesh,2019,4,Others,338672,216496893.1610287,2019-Q4
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.0475,2020-Q1
